"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2014"
"00000","United States",17316314
"01000","Alabama",199440
"02000","Alaska",57080
"04000","Arizona",284156
"05000","Arkansas",121395
"06000","California",2311616
"08000","Colorado",306663
"09000","Connecticut",253036
"10000","Delaware",62756
"11000","District of Columbia",115473
"12000","Florida",839944
"13000","Georgia",476483
"15000","Hawaii",77389
"16000","Idaho",63952
"17000","Illinois",745875
"18000","Indiana",317840
"19000","Iowa",170613
"20000","Kansas",147075
"21000","Kentucky",188602
"22000","Louisiana",251397
"23000","Maine",55838
"24000","Maryland",348631
"25000","Massachusetts",459937
"26000","Michigan",451516
"27000","Minnesota",316204
"28000","Mississippi",104851
"29000","Missouri",284462
"30000","Montana",44269
"31000","Nebraska",112159
"32000","Nevada",132064
"33000","New Hampshire",71552
"34000","New Jersey",549099
"35000","New Mexico",92959
"36000","New York",1404518
"37000","North Carolina",483126
"38000","North Dakota",55136
"39000","Ohio",583261
"40000","Oklahoma",183501
"41000","Oregon",215677
"42000","Pennsylvania",662890
"44000","Rhode Island",54960
"45000","South Carolina",190304
"46000","South Dakota",45867
"47000","Tennessee",300604
"48000","Texas",1648036
"49000","Utah",141410
"50000","Vermont",29613
"51000","Virginia",463613
"53000","Washington",427052
"54000","West Virginia",75337
"55000","Wisconsin",292891
"56000","Wyoming",44190
"91000","New England",924937
"92000","Mideast",3143366
"93000","Great Lakes",2391384
"94000","Plains",1131518
"95000","Southeast",3695095
"96000","Southwest",2208652
"97000","Rocky Mountain",600485
"98000","Far West",3220878
"Legend / Footnotes:"
"Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS)."
"Note-- Per capita real GDP statistics for 1997-2014 reflect Census Bureau mid-year population estimates available as of December 2014."
"Last updated: June 10, 2015 - advance statistics for 2014 and revised statistics for 1997-2013."
